hhnum,strrec,regcode,psurec,provcode,prelacteal2,predom_0to5,mmf_6to23,member_code,mdd,mad_6to23_new,introcomple_6to8,agemos,firstbf2,finalwgt,exbf_0to5,ever_bf2,duration_bf,dds_6to23,current_fd_recall2,cont_20to23,cont_12to15,bottle_status,age_appro_all
106,5,1,1,28,0,9999,1,4,1,0,9999,16.32,2,718.7441,9999,1,2,4,10,9999,9999,1,0
128,2,1,4,28,0,0,9999,7,9999,9999,9999,5.88,1,750.8298,1,1,5,9999,1,9999,9999,0,1
134,3,1,3,28,9999,9999,1,6,1,1,9999,15.36,9999,704.3684,9999,0,9999,5,10,9999,0,1,0
135,3,1,3,28,1,9999,1,5,0,0,9999,15.72,2,704.0898,9999,1,1,3,10,9999,0,1,0
140,3,1,3,28,0,9999,1,7,0,0,9999,9.48,1,704.0898,9999,1,9,2,3,9999,9999,0,1
149,5,1,4,28,9999,9999,1,4,1,0,9999,21.96,9999,719.0284,9999,0,9999,4,10,0,9999,0,0
157,5,1,4,28,0,9999,1,5,0,0,9999,10.32,1,718.7441,9999,1,10,1,3,9999,9999,0,1
177,1,1,1,28,0,0,9999,4,9999,9999,9999,4.32,1,730.322,1,1,4,9999,1,9999,9999,1,1
188,1,1,2,28,0,0,9999,6,9999,9999,9999,5.4,2,730.322,1,1,5,9999,1,9999,9999,1,1
19,3,1,4,28,0,0,9999,4,9999,9999,9999,2.52,1,704.3684,1,1,2,9999,1,9999,9999,0,1
213,2,1,1,28,0,9999,1,7,1,1,9999,19.8,1,750.8298,9999,1,4,6,10,9999,9999,1,0
225,5,1,3,28,9999,9999,1,16,1,0,9999,18.6,9999,719.0284,9999,0,9999,4,10,9999,9999,1,0
230,5,1,3,28,0,0,9999,5,9999,9999,9999,1.92,1,719.0284,0,1,1,9999,8,9999,9999,1,0
239,4,1,2,28,0,9999,1,4,1,1,9999,23.52,1,705.4388,9999,1,23,5,7,1,9999,1,1
250,2,1,2,28,9999,9999,1,7,0,0,9999,16.08,9999,750.8298,9999,0,9999,2,9,9999,9999,1,0
259,2,1,2,28,0,9999,1,5,1,0,9999,18.12,2,751.1268,9999,1,13,4,9,9999,9999,1,0
259,2,1,2,28,0,9999,1,8,0,0,9999,9.48,2,750.8298,9999,1,2,3,9,9999,9999,1,0
26,3,1,4,28,0,9999,1,7,0,0,9999,14.04,1,704.0898,9999,1,5,2,9,9999,0,1,0
260,2,1,2,28,0,9999,1,5,0,0,9999,22.8,3,751.1268,9999,1,12,3,9,0,9999,1,0
27,3,1,4,28,0,9999,1,4,1,0,9999,20.88,1,704.3684,9999,1,10,4,10,0,9999,1,0
